date,coin_type,circulation_supply
2017-02-04,BTC,16144827.2953032
2017-02-05,BTC,16146814.7953032
2017-02-06,BTC,16148377.2953032
2017-02-07,BTC,16150264.7953032
2017-02-08,BTC,16152089.7953032
2017-02-09,BTC,16154202.2953032
2017-02-10,BTC,16156039.7953033
2017-02-11,BTC,16157777.2953033
2017-02-12,BTC,16159527.2953033
2017-02-13,BTC,16161564.7953032
2017-02-14,BTC,16163677.2953032
2017-02-15,BTC,16165414.7953033
2017-02-16,BTC,16167302.2953033
2017-02-17,BTC,16169189.7953033
2017-02-18,BTC,16171077.2953033
2017-02-19,BTC,16172752.2953032
2017-02-20,BTC,16174602.2953033
2017-02-21,BTC,16176327.2953032
2017-02-22,BTC,16178052.2953032
2017-02-23,BTC,16179927.2953033
2017-02-24,BTC,16181964.7953033
2017-02-25,BTC,16184052.2953033
2017-02-26,BTC,16186277.2953033
2017-02-27,BTC,16188077.2953032
2017-02-28,BTC,16189989.7953032
2017-03-01,BTC,16191789.7953033
2017-03-02,BTC,16193752.2953032
2017-03-03,BTC,16195639.7953032
2017-03-04,BTC,16197289.7953032
2017-03-05,BTC,16199127.2953033
2017-03-06,BTC,16200902.2953032
2017-03-07,BTC,16202814.7953032
2017-03-08,BTC,16204589.7953032
2017-03-09,BTC,16206439.7953032
2017-03-10,BTC,16208389.7953033
2017-03-11,BTC,16210252.2953033
2017-03-12,BTC,16212189.7953032
2017-03-13,BTC,16214002.2953032
2017-03-14,BTC,16215952.2953033
2017-03-15,BTC,16217727.2953032
2017-03-16,BTC,16219639.7953032
2017-03-17,BTC,16221564.7953032
2017-03-18,BTC,16223527.2953032
2017-03-19,BTC,16225589.7953032
2017-03-20,BTC,16227289.7953032
2017-03-21,BTC,16229064.7953032
2017-03-22,BTC,16231052.2953033
2017-03-23,BTC,16232902.2953032
2017-03-24,BTC,16235102.2953033
2017-03-25,BTC,16236764.7953032
2017-03-26,BTC,16238839.7953032
2017-03-27,BTC,16240489.7953032
2017-03-28,BTC,16242427.2953032
2017-03-29,BTC,16244152.2953033
2017-03-30,BTC,16246202.2953033
2017-03-31,BTC,16247889.7953032
2017-04-01,BTC,16249539.7953033
2017-04-02,BTC,16251514.7953033
2017-04-03,BTC,16253714.7953032
2017-04-04,BTC,16255277.2953032
2017-04-05,BTC,16257302.2953033
2017-04-06,BTC,16259139.7953033
2017-04-07,BTC,16261164.7953033
2017-04-08,BTC,16262877.2953032
2017-04-09,BTC,16264864.7953033
2017-04-10,BTC,16266702.2953032
2017-04-11,BTC,16268789.7953033
2017-04-12,BTC,16270564.7953032
2017-04-13,BTC,16272152.2953032
2017-04-14,BTC,16273889.7953033
2017-04-15,BTC,16275764.7953032
2017-04-16,BTC,16277589.7953033
2017-04-17,BTC,16279314.7953032
2017-04-18,BTC,16281139.7953033
2017-04-19,BTC,16282927.2953033
2017-04-20,BTC,16284652.2953032
2017-04-21,BTC,16286739.7953032
2017-04-22,BTC,16288552.2953033
2017-04-23,BTC,16290464.7953033
2017-04-24,BTC,16292014.7953032
2017-04-25,BTC,16293864.7953032
2017-04-26,BTC,16295777.2953033
2017-04-27,BTC,16297614.7953032
2017-04-28,BTC,16299314.7953032
2017-04-29,BTC,16301477.2953033
2017-04-30,BTC,16303364.7953033
2017-05-01,BTC,16305239.7953032
2017-05-02,BTC,16307214.7953033
2017-05-03,BTC,16308864.7953032
2017-05-04,BTC,16310964.7953032
2017-05-05,BTC,16312577.2953032
2017-05-06,BTC,16314677.2953032
2017-05-07,BTC,16316764.7953033
2017-05-08,BTC,16319014.7953033
2017-05-09,BTC,16320952.2953032
2017-05-10,BTC,16322802.2953032
2017-05-11,BTC,16324489.7953032
2017-05-12,BTC,16326414.7953032
2017-05-13,BTC,16328389.7953033
2017-05-14,BTC,16330439.7953033
2017-05-15,BTC,16332564.7953033
2017-05-16,BTC,16334214.7953032
2017-05-17,BTC,16336152.2953033
2017-05-18,BTC,16337927.2953033
2017-05-19,BTC,16339977.2953033
2017-05-20,BTC,16342039.7953032
2017-05-21,BTC,16343877.2953032
2017-05-22,BTC,16345702.2953032
2017-05-23,BTC,16347802.2953033
2017-05-24,BTC,16349727.2953033
2017-05-25,BTC,16351764.7953032
2017-05-26,BTC,16353677.2953033
2017-05-27,BTC,16355777.2953032
2017-05-28,BTC,16357839.7953033
2017-05-29,BTC,16359727.2953032
2017-05-30,BTC,16361964.7953032
2017-05-31,BTC,16364014.7953032
2017-06-01,BTC,16366139.7953032
2017-06-02,BTC,16367964.7953032
2017-06-03,BTC,16370364.7953033
2017-06-04,BTC,16372377.2953032
2017-06-05,BTC,16374427.2953032
2017-06-06,BTC,16376314.7953032
2017-06-07,BTC,16378377.2953032
2017-06-08,BTC,16380439.7953032
2017-06-09,BTC,16382327.2953032
2017-06-10,BTC,16384089.7953032
2017-06-11,BTC,16385914.7953033
2017-06-12,BTC,16387752.2953032
2017-06-13,BTC,16389514.7953032
2017-06-14,BTC,16391264.7953032
2017-06-15,BTC,16393177.2953033
2017-06-16,BTC,16395027.2953032
2017-06-17,BTC,16396839.7953032
2017-06-18,BTC,16398652.2953033
2017-06-19,BTC,16400539.7953032
2017-06-20,BTC,16402264.7953033
2017-06-21,BTC,16404014.7953033
2017-06-22,BTC,16405752.2953032
2017-06-23,BTC,16407752.2953032
2017-06-24,BTC,16409577.2953032
2017-06-25,BTC,16411102.2953033
2017-06-26,BTC,16412877.2953032
2017-06-27,BTC,16414514.7953032
2017-06-28,BTC,16416477.2953032
2017-06-29,BTC,16417977.2953032
2017-06-30,BTC,16419902.2953032
2017-07-01,BTC,16421952.2953032
2017-07-02,BTC,16424302.2953033
2017-07-03,BTC,16426427.2953033
2017-07-04,BTC,16428339.7953033
2017-07-05,BTC,16430202.2953032
2017-07-06,BTC,16431977.2953033
2017-07-07,BTC,16433827.2953032
2017-07-08,BTC,16435889.7953032
2017-07-09,BTC,16437614.7953033
2017-07-10,BTC,16440077.2953032
2017-07-11,BTC,16442239.7953032
2017-07-12,BTC,16444452.2953032
2017-07-13,BTC,16446414.7953033
2017-07-14,BTC,16448152.2953033
2017-07-15,BTC,16449739.7953032
2017-07-16,BTC,16451777.2953032
2017-07-17,BTC,16453627.2953032
2017-07-18,BTC,16455689.7953032
2017-07-19,BTC,16457552.2953032
2017-07-20,BTC,16459577.2953032
2017-07-21,BTC,16461502.2953032
2017-07-22,BTC,16463502.2953032
2017-07-23,BTC,16465652.2953032
2017-07-24,BTC,16467877.2953032
2017-07-25,BTC,16469727.2953032
2017-07-26,BTC,16471564.7953032
2017-07-27,BTC,16473489.7953032
2017-07-28,BTC,16475364.7953032
2017-07-29,BTC,16477327.2953032
2017-07-30,BTC,16479164.7953032
2017-07-31,BTC,16480977.2953033
2017-08-01,BTC,16482839.7953032
